Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.8584,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0574,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Piranga flava,Hepatic Tanager,0.0205,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus pelios,African Thrush,0.0103,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus amaurochalinus,Creamy-bellied Thrush,0.0053,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0038,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Piranga rubra,Summer Tanager,0.0038,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus philomelos,Song Thrush,0.0035,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus aureoventris,Black-backed Grosbeak,0.0020,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus ignobilis,Black-billed Thrush,0.0019,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus chrysogaster,Golden Grosbeak,0.0017,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus infuscatus,Black Thrush,0.0014,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Pheucticus ludovicianus,Rose-breasted Grosbeak,0.0013,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Habia rubica,Red-crowned Ant-Tanager,0.0012,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0008,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0008,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Icterus galbula,Baltimore Oriole,0.0007,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Turdus grayi,Clay-colored Thrush,0.0006,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
0.0,3.0,Passerina amoena,Lazuli Bunting,0.0005,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
3.0,6.0,Turdus migratorius,American Robin,0.9531,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
3.0,6.0,Turdus ignobilis,Black-billed Thrush,0.0210,Filtered_Without_Harmonics\Normalized_Audio\American Robin.wav,-1,-1,27,0.01
