Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
0.0,3.0,Turdus migratorius,American Robin,0.9415,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pheucticus melanocephalus,Black-headed Grosbeak,0.0244,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Mimus polyglottos,Northern Mockingbird,0.0043,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Myadestes townsendi,Townsend's Solitaire,0.0003,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Pipilo maculatus,Spotted Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Molothrus ater,Brown-headed Cowbird,0.0002,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma crissale,Crissal Thrasher,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icterus parisorum,Scott's Oriole,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Agelaius phoeniceus,Red-winged Blackbird,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cardinalis cardinalis,Northern Cardinal,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Sturnella neglecta,Western Meadowlark,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Toxostoma redivivum,California Thrasher,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Icteria virens,Yellow-breasted Chat,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Bubo virginianus,Great Horned Owl,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Empidonax difficilis,Pacific-slope Flycatcher,0.0001,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
0.0,3.0,Cyanocitta stelleri,Steller's Jay,0.0000,Filtered_With_Harmonics\Normalized_Audio\American Robin.wav,34.0522,-118.2437,-1,0.01
